type,table_name,relationship,referenced_table,local_column,referenced_column,delete_rule,update_rule
Table,public.a_engineering_analysis,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_engineering_analysis,has FK to,public.a_engineering_models,model_id,id,CASCADE,NO ACTION
Table,public.a_engineering_audit_trail,has FK to,public.a_engineering_analysis,analysis_id,id,CASCADE,NO ACTION
Table,public.a_engineering_audit_trail,has FK to,public.a_engineering_models,model_id,id,CASCADE,NO ACTION
Table,public.a_engineering_audit_trail,has FK to,public.agents,user_id,id,NO ACTION,NO ACTION
Table,public.a_engineering_models,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_engineering_models,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.a_engineering_standards,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_engineering_standards,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.a_engineering_templates,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_engineering_templates,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_approvals,has FK to,public.agents,approver_user,id,NO ACTION,NO ACTION
Table,public.a_measurement_approvals,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_approvals,has FK to,public.a_measurement_data,measurement_id,id,CASCADE,NO ACTION
Table,public.a_measurement_audit_trail,has FK to,public.a_measurement_data,measurement_id,id,CASCADE,NO ACTION
Table,public.a_measurement_audit_trail,has FK to,public.agents,user_id,id,NO ACTION,NO ACTION
Table,public.a_measurement_cad_integration,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_cad_integration,has FK to,public.a_measurement_data,measurement_id,id,CASCADE,NO ACTION
Table,public.a_measurement_cad_integration,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_data,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_data,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_standards,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_standards,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_templates,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_templates,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_validation_rules,has FK to,public.agents,created_by,id,NO ACTION,NO ACTION
Table,public.a_measurement_validation_rules,has FK to,public.agents,updated_by,id,NO ACTION,NO ACTION
Table,public.account,has FK to,public.user,user_id,id,CASCADE,NO ACTION
Table,public.activity_log,has FK to,public.agents,agent_id,id,NO ACTION,NO ACTION
Table,public.activity_log,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.activity_log,has FK to,public.heartbeat_runs,run_id,id,NO ACTION,NO ACTION
Table,public.agent_api_keys,has FK to,public.agents,agent_id,id,NO ACTION,NO ACTION
Table,public.agent_api_keys,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agent_config_revisions,has FK to,public.agents,agent_id,id,CASCADE,NO ACTION
Table,public.agent_config_revisions,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agent_config_revisions,has FK to,public.agents,created_by_agent_id,id,SET NULL,NO ACTION
Table,public.agent_models,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agent_runtime_state,has FK to,public.agents,agent_id,id,NO ACTION,NO ACTION
Table,public.agent_runtime_state,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agent_skill_assignments,has FK to,public.agents,agent_id,id,NO ACTION,NO ACTION
Table,public.agent_skill_assignments,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agent_task_sessions,has FK to,public.agents,agent_id,id,NO ACTION,NO ACTION
Table,public.agent_task_sessions,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agent_task_sessions,has FK to,public.heartbeat_runs,last_run_id,id,NO ACTION,NO ACTION
Table,public.agent_wakeup_requests,has FK to,public.agents,agent_id,id,NO ACTION,NO ACTION
Table,public.agent_wakeup_requests,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agents,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.agents,has FK to,public.agents,reports_to,id,NO ACTION,NO ACTION
Table,public.approval_comments,has FK to,public.approvals,approval_id,id,NO ACTION,NO ACTION
Table,public.approval_comments,has FK to,public.agents,author_agent_id,id,NO ACTION,NO ACTION
Table,public.approval_comments,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.approvals,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.approvals,has FK to,public.agents,requested_by_agent_id,id,NO ACTION,NO ACTION
Table,public.assets,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.assets,has FK to,public.agents,created_by_agent_id,id,NO ACTION,NO ACTION
Table,public.auth_accounts,has FK to,public.auth_users,user_id,id,CASCADE,NO ACTION
Table,public.auth_sessions,has FK to,public.auth_users,user_id,id,CASCADE,NO ACTION
Table,public.board_api_keys,has FK to,public.user,user_id,id,CASCADE,NO ACTION
Table,public.budget_incidents,has FK to,public.approvals,approval_id,id,NO ACTION,NO ACTION
Table,public.budget_incidents,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.budget_incidents,has FK to,public.budget_policies,policy_id,id,NO ACTION,NO ACTION
Table,public.budget_policies,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.cli_auth_challenges,has FK to,public.user,approved_by_user_id,id,SET NULL,NO ACTION
Table,public.cli_auth_challenges,has FK to,public.board_api_keys,board_api_key_id,id,SET NULL,NO ACTION
Table,public.cli_auth_challenges,has FK to,public.companies,requested_company_id,id,SET NULL,NO ACTION
Table,public.company_logos,has FK to,public.assets,asset_id,id,CASCADE,NO ACTION
Table,public.company_logos,has FK to,public.companies,company_id,id,CASCADE,NO ACTION
Table,public.company_secret_versions,has FK to,public.agents,created_by_agent_id,id,SET NULL,NO ACTION
Table,public.company_secret_versions,has FK to,public.company_secrets,secret_id,id,CASCADE,NO ACTION
Table,public.company_secrets,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.company_secrets,has FK to,public.agents,created_by_agent_id,id,SET NULL,NO ACTION
Table,public.company_skills,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.company_user_sidebar_preferences,has FK to,public.companies,company_id,id,CASCADE,NO ACTION
